N,MARCA,MODELO,ano,KILOMETRAJE,cilindrada,combustible,sis_entrega,NO,PCV_NAFTA,EGR,NO,CAT
179,RENAULT,SANDERO,2017,"45,300",1.6,NAFTA,MULTIPUNTO,,,,SI,
180,VOLKSWAGEN,GOL,2006,"134,500",1.9,DIESEL,INYECCION DIRECTA,,NO,NO,NO,
181,RENAULT,SANDERO,2011,"35,500",1.4,NAFTA,MULTIPUNTO,,,,SI,
182,FIAT,DUNA,1995,"435,500",1.7,DIESEL,PRE CAMARA,,NO,NO,NO,
183,FIAT,SIENA,2017,"6,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
184,CITROEN,C3,2008,"79,400",1.6,NAFTA,MULTIPUNTO,,,,SI,
185,PEUGOT,308,2012,"16,800",1.6,NAFTA,MULTIPUNTO,,,,SI,
186,PEUGEOT,307,2011,"63,000",1.6,DIESEL,COMMON RAIL,,SI,SI,SI,
187,FORD,FOX,2004,"205,000",1.6,NAFTA,MULTIPUNTO,,,,NO,si
188,PEUGEOT,208,2015,"11,000",1.4,NAFTA,MULTIPUNTO,,,,SI,si
189,CHEVROLET,CRUZE,2011,"95,000",2,DIESEL,COMMON RAIL,,NO,SI,NO,
